25,5.46E+08
100,5.62E+08
200,5.84E+08
300,6.06E+08
400,6.29E+08
500,6.51E+08
600,6.73E+08
700,6.94E+08
800,7.14E+08
900,7.34E+08
995,6.41E+08
1100,6.60E+08
1200,6.78E+08
1300,6.96E+08
1400,7.14E+08
1500,7.32E+08
1600,7.50E+08
1650,7.59E+08
1651,8.30E+08
1903,8.30E+08
